Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,178,48,0,226
15,Labour,147,65,0,212
6,Crossbench,142,37,0,179
17,Liberal Democrat,66,35,0,101
3,Bishops,26,0,0,26
49,Non-affiliated,16,4,0,20
7,Democratic Unionist Party,3,1,0,4
35,UK Independence Party,3,0,0,3
10,Independent Labour,2,0,0,2
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
