date,total,total_male,total_female
1999-01-01,1286,1185,101
1999-02-01,1287,1185,102
1999-03-01,1287,1185,102
1999-04-01,1285,1183,102
1999-05-01,1283,1180,103
1999-06-01,1283,1180,103
1999-07-01,1281,1178,103
1999-08-01,1313,1201,112
1999-09-01,1322,1205,117
1999-10-01,1322,1205,117
1999-11-01,1320,1203,117
1999-12-01,670,565,105
2000-01-01,667,563,104
2000-02-01,665,561,104
2000-03-01,669,564,105
2000-04-01,669,564,105
2000-05-01,678,572,106
2000-06-01,692,581,111
2000-07-01,699,587,112
2000-08-01,698,586,112
2000-09-01,697,586,111
2000-10-01,695,584,111
2000-11-01,696,585,111
2000-12-01,694,584,110
2001-01-01,692,582,110
2001-02-01,690,579,111
2001-03-01,685,575,110
2001-04-01,683,573,110
2001-05-01,679,569,110
2001-06-01,678,568,110
2001-07-01,693,578,115
2001-08-01,710,593,117
2001-09-01,709,592,117
2001-10-01,707,590,117
2001-11-01,704,587,117
2001-12-01,705,588,117
2002-01-01,702,585,117
2002-02-01,701,584,117
2002-03-01,700,583,117
2002-04-01,697,580,117
2002-05-01,694,578,116
2002-06-01,692,577,115
2002-07-01,691,576,115
2002-08-01,687,572,115
2002-09-01,685,570,115
2002-10-01,685,571,114
2002-11-01,685,573,112
2002-12-01,681,570,111
2003-01-01,682,571,111
2003-02-01,677,567,110
2003-03-01,678,568,110
2003-04-01,677,567,110
2003-05-01,675,565,110
2003-06-01,673,563,110
2003-07-01,674,564,110
2003-08-01,673,563,110
2003-09-01,671,561,110
2003-10-01,671,561,110
2003-11-01,672,562,110
2003-12-01,669,559,110
2004-01-01,665,555,110
2004-02-01,668,557,111
2004-03-01,665,554,111
2004-04-01,664,553,111
2004-05-01,661,551,110
2004-06-01,662,552,110
2004-07-01,702,579,123
2004-08-01,702,579,123
2004-09-01,700,577,123
2004-10-01,701,577,124
2004-11-01,694,570,124
2004-12-01,694,570,124
2005-01-01,692,568,124
2005-02-01,695,571,124
2005-03-01,694,570,124
2005-04-01,692,570,122
2005-05-01,693,570,123
2005-06-01,695,572,123
2005-07-01,723,592,131
2005-08-01,723,592,131
2005-09-01,719,588,131
2005-10-01,721,590,131
2005-11-01,722,590,132
2005-12-01,722,590,132
2006-01-01,720,588,132
2006-02-01,716,584,132
2006-03-01,714,582,132
2006-04-01,713,581,132
2006-05-01,714,582,132
2006-06-01,721,586,135
2006-07-01,742,602,140
2006-08-01,742,602,140
2006-09-01,740,600,140
2006-10-01,741,601,140
2006-11-01,739,599,140
2006-12-01,738,598,140
2007-01-01,737,597,140
2007-02-01,733,593,140
2007-03-01,732,592,140
2007-04-01,739,597,142
2007-05-01,739,597,142
2007-06-01,736,594,142
2007-07-01,736,594,142
2007-08-01,739,596,143
2007-09-01,736,593,143
2007-10-01,735,592,143
2007-11-01,739,593,146
2007-12-01,736,590,146
2008-01-01,738,591,147
2008-02-01,735,588,147
2008-03-01,735,589,146
2008-04-01,733,587,146
2008-05-01,731,585,146
2008-06-01,732,587,145
2008-07-01,735,589,146
2008-08-01,733,587,146
2008-09-01,732,586,146
2008-10-01,733,587,146
2008-11-01,731,586,145
2008-12-01,732,586,146
2009-01-01,732,586,146
2009-02-01,731,585,146
2009-03-01,731,585,146
2009-04-01,729,583,146
2009-05-01,726,580,146
2009-06-01,724,578,146
2009-07-01,725,579,146
2009-08-01,724,578,146
