date,total
1960-01-01,250
1960-02-01,250
1960-03-01,250
1960-04-01,250
1960-05-01,251
1960-06-01,252
1960-07-01,253
1960-08-01,255
1960-09-01,255
1960-10-01,255
1960-11-01,257
1960-12-01,261
1961-01-01,262
1961-02-01,262
1961-03-01,270
1961-04-01,270
1961-05-01,272
1961-06-01,273
1961-07-01,278
1961-08-01,281
1961-09-01,281
1961-10-01,281
1961-11-01,283
1961-12-01,283
1962-01-01,283
1962-02-01,283
1962-03-01,287
1962-04-01,288
1962-05-01,289
1962-06-01,293
1962-07-01,296
1962-08-01,299
1962-09-01,299
1962-10-01,299
1962-11-01,299
1962-12-01,300
1963-01-01,301
1963-02-01,301
1963-03-01,304
1963-04-01,306
1963-05-01,308
1963-06-01,310
1963-07-01,310
1963-08-01,318
1963-09-01,318
1963-10-01,318
1963-11-01,319
1963-12-01,322
1964-01-01,323
1964-02-01,328
1964-03-01,333
1964-04-01,335
1964-05-01,340
1964-06-01,342
1964-07-01,345
1964-08-01,350
1964-09-01,350
1964-10-01,350
1964-11-01,356
1964-12-01,360
1965-01-01,371
1965-02-01,371
1965-03-01,375
1965-04-01,377
1965-05-01,379
1965-06-01,387
1965-07-01,392
1965-08-01,397
1965-09-01,398
1965-10-01,398
1965-11-01,400
1965-12-01,401
1966-01-01,403
1966-02-01,408
1966-03-01,410
1966-04-01,410
1966-05-01,411
1966-06-01,412
1966-07-01,416
1966-08-01,421
1966-09-01,421
1966-10-01,421
1966-11-01,422
1966-12-01,424
1967-01-01,425
1967-02-01,428
1967-03-01,432
1967-04-01,432
1967-05-01,434
1967-06-01,435
1967-07-01,440
1967-08-01,445
1967-09-01,445
1967-10-01,446
1967-11-01,452
1967-12-01,456
1968-01-01,462
1968-02-01,468
1968-03-01,474
1968-04-01,475
1968-05-01,477
1968-06-01,478
1968-07-01,480
1968-08-01,484
1968-09-01,484
1968-10-01,484
1968-11-01,486
1968-12-01,489
1969-01-01,492
1969-02-01,495
1969-03-01,498
1969-04-01,500
1969-05-01,500
1969-06-01,501
1969-07-01,502
1969-08-01,503
1969-09-01,503
1969-10-01,503
1969-11-01,507
1969-12-01,511
1970-01-01,513
1970-02-01,515
1970-03-01,519
1970-04-01,519
1970-05-01,519
1970-06-01,522
1970-07-01,526
1970-08-01,528
1970-09-01,528
1970-10-01,528
1970-11-01,529
1970-12-01,534
1971-01-01,534
1971-02-01,536
1971-03-01,536
1971-04-01,542
1971-05-01,544
1971-06-01,548
1971-07-01,551
1971-08-01,552
1971-09-01,552
1971-10-01,554
1971-11-01,557
1971-12-01,558
1972-01-01,563
1972-02-01,564
1972-03-01,565
1972-04-01,565
1972-05-01,566
1972-06-01,568
1972-07-01,573
1972-08-01,578
1972-09-01,578
1972-10-01,578
1972-11-01,580
1972-12-01,581
1973-01-01,582
1973-02-01,582
1973-03-01,584
1973-04-01,585
1973-05-01,588
1973-06-01,592
1973-07-01,595
1973-08-01,601
1973-09-01,601
1973-10-01,601
1973-11-01,604
1973-12-01,607
1974-01-01,609
1974-02-01,609
1974-03-01,610
1974-04-01,618
1974-05-01,621
1974-06-01,629
1974-07-01,633
1974-08-01,649
1974-09-01,649
1974-10-01,649
1974-11-01,654
1974-12-01,656
1975-01-01,657
1975-02-01,669
1975-03-01,680
1975-04-01,681
1975-05-01,682
1975-06-01,684
1975-07-01,687
1975-08-01,690
1975-09-01,690
1975-10-01,692
1975-11-01,695
1975-12-01,697
1976-01-01,698
1976-02-01,704
1976-03-01,712
1976-04-01,716
1976-05-01,719
1976-06-01,727
1976-07-01,733
1976-08-01,741
1976-09-01,742
1976-10-01,747
1976-11-01,752
1976-12-01,755
1977-01-01,758
1977-02-01,760
1977-03-01,765
1977-04-01,769
1977-05-01,770
1977-06-01,773
1977-07-01,776
1977-08-01,780
1977-09-01,780
1977-10-01,781
1977-11-01,786
1977-12-01,791
1978-01-01,792
1978-02-01,795
1978-03-01,803
1978-04-01,805
1978-05-01,812
1978-06-01,819
1978-07-01,823
1978-08-01,831
1978-09-01,832
1978-10-01,832
1978-11-01,834
1978-12-01,834
1979-01-01,837
1979-02-01,837
1979-03-01,841
1979-04-01,847
1979-05-01,848
1979-06-01,852
1979-07-01,854
1979-08-01,874
1979-09-01,874
1979-10-01,874
1979-11-01,877
1979-12-01,884
1980-01-01,888
1980-02-01,888
1980-03-01,894
1980-04-01,896
1980-05-01,898
1980-06-01,899
1980-07-01,901
1980-08-01,904
1980-09-01,907
1980-10-01,907
1980-11-01,911
1980-12-01,912
1981-01-01,913
1981-02-01,914
1981-03-01,919
1981-04-01,922
1981-05-01,925
1981-06-01,932
1981-07-01,939
1981-08-01,943
1981-09-01,943
1981-10-01,943
1981-11-01,947
1981-12-01,950
1982-01-01,952
1982-02-01,954
1982-03-01,956
1982-04-01,963
1982-05-01,966
1982-06-01,967
1982-07-01,970
1982-08-01,974
1982-09-01,974
1982-10-01,975
1982-11-01,977
1982-12-01,980
1983-01-01,981
1983-02-01,987
1983-03-01,994
1983-04-01,998
1983-05-01,1000
1983-06-01,1001
1983-07-01,1003
1983-08-01,1011
1983-09-01,1011
1983-10-01,1016
1983-11-01,1025
1983-12-01,1035
1984-01-01,1035
1984-02-01,1038
1984-03-01,1044
1984-04-01,1046
1984-05-01,1048
1984-06-01,1049
1984-07-01,1050
1984-08-01,1051
1984-09-01,1051
1984-10-01,1051
1984-11-01,1056
1984-12-01,1058
1985-01-01,1061
1985-02-01,1063
1985-03-01,1067
1985-04-01,1068
1985-05-01,1071
1985-06-01,1079
1985-07-01,1084
1985-08-01,1091
1985-09-01,1092
1985-10-01,1092
1985-11-01,1094
1985-12-01,1097
1986-01-01,1096
1986-02-01,1092
1986-03-01,1096
1986-04-01,1097
1986-05-01,1098
1986-06-01,1095
1986-07-01,1098
1986-08-01,1104
1986-09-01,1103
1986-10-01,1101
1986-11-01,1103
1986-12-01,1106
1987-01-01,1106
1987-02-01,1105
1987-03-01,1109
1987-04-01,1115
1987-05-01,1118
1987-06-01,1118
1987-07-01,1120
1987-08-01,1123
1987-09-01,1121
1987-10-01,1117
1987-11-01,1122
1987-12-01,1128
1988-01-01,1127
1988-02-01,1129
1988-03-01,1136
1988-04-01,1135
1988-05-01,1132
1988-06-01,1132
1988-07-01,1131
1988-08-01,1132
1988-09-01,1130
1988-10-01,1126
1988-11-01,1124
1988-12-01,1124
1989-01-01,1123
1989-02-01,1123
1989-03-01,1125
1989-04-01,1123
1989-05-01,1122
1989-06-01,1121
1989-07-01,1119
1989-08-01,1121
1989-09-01,1118
1989-10-01,1115
1989-11-01,1117
1989-12-01,1120
1990-01-01,1116
1990-02-01,1111
1990-03-01,1114
1990-04-01,1114
1990-05-01,1116
1990-06-01,1129
1990-07-01,1129
1990-08-01,1133
1990-09-01,1132
1990-10-01,1128
1990-11-01,1129
1990-12-01,1131
1991-01-01,1131
1991-02-01,1133
1991-03-01,1137
1991-04-01,1134
1991-05-01,1134
1991-06-01,1134
1991-07-01,1141
1991-08-01,1147
1991-09-01,1147
1991-10-01,1148
1991-11-01,1145
1991-12-01,1144
1992-01-01,1144
